2020-03-06 20:22:24 DEBUG ResourceBundleMessageInterpolator:89 - Loaded expression factory via original TCCL
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'servletContextInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'systemProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'systemEnvironment'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'random'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'applicationConfig: [classpath:/application.properties]'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.profiles.default' in PropertySource 'devtools'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:96 - Could not find key 'spring.profiles.default' in any property source
#rootLogger.level = debug2020-03-06 20:22:24 INFO  DemoconverterApplication:651 - No active profile set, falling back to default profiles: default
#rootLogger.level = debug2020-03-06 20:22:24 DEBUG SpringApplication:679 - Loading source class com.stepanov.democonverter.DemoconverterApplication
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ClassPathBeanDefinitionScanner:212 - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.properties' (file:./config/application.properties)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.xml' (file:./config/application.xml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.yml' (file:./config/application.yml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.yaml' (file:./config/application.yaml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.properties' (file:./application.properties)
